order_id,order_date,region,customer_type,category,payment_method,units_sold,revenue,cost,profit,marketing_spend,customer_satisfaction,delivery_days,returns
ORD-10065,2026-03-06,South,Returning,Accessory,Net Banking,1,70.05,41.67,28.38,644.81,3.84,4.4,0
ORD-10066,2026-03-07,East,Enterprise,Monitor,Debit Card,5,1504.85,1127.54,377.31,396.47,4.23,3.5,1
ORD-10067,2026-03-08,North,Returning,Phone,UPI,14,8476.74,4851.71,3625.03,152.67,3.19,4.4,2
ORD-10068,2026-03-09,West,Enterprise,Laptop,Net Banking,9,8006.19,5707.22,2298.97,502.33,4.94,5.1,2
ORD-10069,2026-03-10,North,Returning,Laptop,UPI,14,11966.88,7374.52,4592.36,565.62,3.95,4.3,3
ORD-10070,2026-03-11,West,New,Phone,Debit Card,1,542.25,355.23,187.02,255.9,4.73,4.3,0
ORD-10071,2026-03-12,West,Enterprise,Monitor,Debit Card,3,810.71,509.08,301.63,607.17,,3.1,0
ORD-10072,2026-03-13,North,New,Accessory,UPI,13,1127.83,728.61,399.21,638.99,4.3,3.1,1
ORD-10073,2026-03-14,North,Returning,Monitor,Credit Card,13,4091.74,3044.84,1046.9,229.99,4.37,2.0,2
ORD-10074,2026-03-15,West,New,Phone,Debit Card,4,2570.61,1620.06,950.55,689.29,4.29,7.0,1
ORD-10075,2026-03-16,East,New,Tablet,Credit Card,14,5239.19,3682.78,1556.41,141.46,4.42,2.2,2
ORD-10076,2026-03-17,East,New,Accessory,Debit Card,1,81.84,55.53,26.31,181.31,4.86,3.1,0
ORD-10077,2026-03-18,West,New,Monitor,Credit Card,1,324.7,236.77,87.93,169.75,4.13,3.1,0
ORD-10078,2026-03-19,North,Returning,Monitor,Credit Card,8,2037.97,1636.37,401.59,631.09,4.46,5.6,1
ORD-10079,2026-03-20,South,Returning,Phone,Credit Card,2,959.14,717.24,241.9,475.29,3.94,3.7,1
ORD-10080,2026-03-21,North,New,Phone,UPI,12,7224.16,4392.53,2831.63,148.87,4.94,6.2,3
ORD-10081,2026-03-22,West,New,Phone,Credit Card,8,4574.13,2554.29,2019.85,336.21,3.56,3.1,0
ORD-10082,2026-03-23,East,Returning,Accessory,Credit Card,7,592.1,367.58,224.52,449.94,5.0,4.6,0
ORD-10083,2026-03-24,South,New,Laptop,Credit Card,10,7617.06,5413.23,2203.84,104.25,3.97,2.9,0
ORD-10084,2026-03-25,North,Returning,Laptop,Debit Card,10,9455.72,5331.94,4123.78,623.57,3.07,7.6,1
ORD-10085,2026-03-26,South,Returning,Laptop,Credit Card,2,1558.11,1065.78,492.33,572.34,4.08,2.3,0
ORD-10086,2026-03-27,South,Returning,Laptop,Debit Card,6,4610.43,3278.7,1331.73,378.38,3.56,4.7,0
ORD-10087,2026-03-28,East,Returning,Accessory,Credit Card,6,406.89,260.51,146.38,678.63,4.55,5.2,0
ORD-10088,2026-03-29,East,New,Accessory,Credit Card,3,251.73,190.85,60.88,321.54,3.58,4.9,1
ORD-10089,2026-03-30,West,Returning,Phone,UPI,11,6470.57,3745.04,2725.52,689.67,3.71,3.9,1
ORD-10090,2026-03-31,South,New,Laptop,Debit Card,2,1738.44,991.41,747.03,484.15,2.77,4.0,0
ORD-10091,2026-04-01,North,New,Phone,Credit Card,12,6391.53,4771.99,1619.54,462.54,3.71,4.3,1
ORD-10092,2026-04-02,East,Returning,Phone,Debit Card,1,626.71,428.53,198.18,157.87,2.42,4.0,0
ORD-10093,2026-04-03,West,New,Laptop,Debit Card,6,4995.49,3676.02,1319.46,623.25,2.97,5.7,0
ORD-10094,2026-04-04,East,Returning,Phone,,12,7388.55,4931.15,2457.41,327.87,4.49,7.7,1
ORD-10095,2026-04-05,West,Returning,Phone,UPI,5,2736.01,1686.83,1049.18,155.45,4.51,3.3,1
ORD-10096,2026-04-06,South,Returning,Monitor,UPI,14,3819.62,2945.53,874.09,58.19,4.28,2.0,2
ORD-10097,2026-04-07,South,Enterprise,Monitor,UPI,14,3930.52,3010.16,920.36,,3.37,4.1,1
ORD-10098,2026-04-08,South,New,Laptop,Net Banking,11,8877.4,6547.69,2329.71,392.81,3.97,8.3,1
ORD-10099,2026-04-09,North,New,Phone,Net Banking,9,5428.72,3384.69,2044.03,517.58,4.0,2.9,0
ORD-10100,2026-04-10,North,Returning,Monitor,UPI,1,284.45,201.78,82.67,628.67,3.25,6.8,0
ORD-10101,2026-04-11,North,New,Phone,Net Banking,7,3567.53,2309.84,1257.69,101.61,4.98,6.9,0
ORD-10102,2026-04-12,East,Returning,Accessory,Net Banking,5,430.07,247.17,182.9,525.47,4.57,3.3,0
ORD-10103,2026-04-13,South,Returning,Monitor,Net Banking,5,1367.36,1090.71,276.65,171.82,3.86,5.1,1
ORD-10104,2026-04-14,South,Returning,Laptop,UPI,14,12249.53,7189.75,5059.78,607.82,4.02,6.8,4
ORD-10105,2026-04-15,West,New,Laptop,UPI,2,1953.53,1575.65,377.88,582.39,4.14,3.6,0
ORD-10106,2026-04-16,North,New,Monitor,UPI,11,3252.48,2180.53,1071.95,401.52,2.67,3.9,1
ORD-10107,2026-04-17,South,New,Laptop,Net Banking,3,2265.87,1359.49,906.38,511.66,3.84,3.3,1
ORD-10108,2026-04-18,West,New,Monitor,UPI,7,2273.88,1583.34,690.55,254.33,3.56,2.6,0
ORD-10109,2026-04-19,North,Enterprise,Tablet,Net Banking,6,2664.0,2093.09,570.91,356.26,3.35,3.2,0
ORD-10110,2026-04-20,North,New,Monitor,Credit Card,12,3227.34,2413.09,814.26,584.06,3.82,2.2,1
ORD-10111,2026-04-21,South,New,Phone,Net Banking,2,985.56,756.68,228.87,348.52,5.0,4.3,0
ORD-10112,2026-04-22,North,New,Monitor,Debit Card,6,1868.21,1359.82,508.39,282.57,4.42,3.0,0
ORD-10113,2026-04-23,West,Returning,Phone,UPI,2,1160.09,854.88,305.2,371.24,3.63,4.6,0
ORD-10114,2026-04-24,West,Returning,Monitor,UPI,2,574.58,447.76,126.82,588.36,4.37,1.7,0
ORD-10115,2026-04-25,East,New,Tablet,Debit Card,2,961.79,593.82,367.97,267.89,4.91,4.7,0
ORD-10116,2026-04-26,West,New,Phone,Net Banking,14,8548.83,5831.54,2717.29,162.95,4.6,5.5,0
ORD-10117,2026-04-27,West,New,Tablet,Credit Card,11,4158.24,2535.39,1622.85,512.81,4.04,1.0,1
ORD-10118,2026-04-28,North,New,Tablet,Debit Card,3,1200.61,980.51,220.11,586.89,3.58,4.8,0
ORD-10119,2026-04-29,West,Returning,Laptop,Debit Card,2,1584.4,1275.28,309.12,115.41,4.45,6.2,0
ORD-10120,2026-04-30,East,Returning,Laptop,Net Banking,4,3724.71,2088.24,1636.47,205.92,4.26,2.3,0
ORD-10121,2026-05-01,West,New,Laptop,UPI,9,6587.15,4877.82,1709.33,,4.58,6.9,2
ORD-10122,2026-05-02,West,New,Laptop,Net Banking,6,5294.12,4234.33,1059.79,276.16,4.41,4.9,0
ORD-10123,2026-05-03,South,Enterprise,Laptop,Debit Card,1,936.37,560.66,375.71,342.73,4.68,3.1,0
ORD-10124,2026-05-04,North,New,Monitor,Debit Card,8,2552.11,1795.01,757.09,536.74,3.65,4.1,0
ORD-10125,2026-05-05,North,Returning,Laptop,UPI,12,9821.45,7829.48,1991.97,473.25,4.86,5.1,0
ORD-10126,2026-05-06,South,New,Phone,UPI,14,8631.81,4826.61,3805.2,453.6,4.13,4.3,2
ORD-10127,2026-05-07,West,Returning,Accessory,UPI,7,465.42,343.62,121.8,279.04,5.0,5.1,3
ORD-10128,2026-05-08,West,New,Laptop,Net Banking,10,9599.3,6050.29,3549.01,596.94,3.55,2.7,0
ORD-10129,2026-05-09,North,Returning,Accessory,UPI,3,200.72,160.49,40.23,356.34,5.0,4.5,0
ORD-10130,2026-05-10,South,Enterprise,Phone,Debit Card,1,539.61,438.26,101.35,686.42,4.13,1.9,0
ORD-10131,2026-05-11,South,New,Laptop,Debit Card,5,4730.71,3807.99,922.72,462.19,3.58,4.0,1
ORD-10132,2026-05-12,North,New,Monitor,Credit Card,13,3274.08,2219.95,1054.13,132.07,3.69,2.8,1
ORD-10133,2026-05-13,North,New,Monitor,Net Banking,4,1036.73,811.5,225.23,489.52,3.79,3.0,0
ORD-10134,2026-05-14,South,New,Accessory,Credit Card,10,816.26,635.07,181.19,261.32,4.28,6.2,0
ORD-10135,2026-05-15,West,New,Accessory,Debit Card,8,652.57,415.14,237.43,496.11,4.34,5.9,1
ORD-10136,2026-05-16,South,New,Accessory,Credit Card,1,79.62,61.61,18.01,95.27,3.63,5.2,0
ORD-10137,2026-05-17,South,Returning,Phone,Debit Card,10,5934.52,3323.28,2611.23,163.67,3.98,2.5,1
ORD-10138,2026-05-18,East,New,Laptop,Credit Card,1,874.73,621.93,252.8,606.23,5.0,3.7,0
ORD-10139,2026-05-19,South,New,Accessory,UPI,12,839.78,514.03,325.75,197.67,5.0,6.1,2
ORD-10140,2026-05-20,West,Enterprise,Accessory,Credit Card,4,289.22,168.49,120.74,594.08,4.28,4.4,0
ORD-10141,2026-05-21,West,New,Tablet,UPI,8,3057.36,1745.07,1312.29,231.53,4.02,7.9,1
ORD-10142,2026-05-22,South,Enterprise,Phone,UPI,5,3161.92,2333.49,828.43,467.87,4.08,4.8,0
ORD-10143,2026-05-23,South,New,Phone,Net Banking,2,1146.77,735.96,410.81,501.2,4.4,4.5,0
ORD-10144,2026-05-24,South,Enterprise,Accessory,UPI,6,442.03,329.61,112.41,383.23,3.34,3.7,0
ORD-10145,2026-05-25,South,Returning,Phone,UPI,5,2756.77,1564.87,1191.9,248.45,3.83,4.4,0
ORD-10146,2026-05-26,North,Returning,Tablet,Credit Card,2,976.59,620.26,356.33,188.22,2.92,4.0,0
ORD-10147,2026-05-27,East,Enterprise,Accessory,Debit Card,13,878.09,610.85,267.24,71.57,4.26,5.3,1
ORD-10148,2026-05-28,South,New,Phone,Net Banking,14,8034.61,6134.39,1900.22,247.57,4.42,5.7,1
ORD-10149,2026-05-29,North,Enterprise,Accessory,UPI,11,838.98,533.64,305.34,474.56,3.69,2.9,1
ORD-10150,2026-05-30,South,New,Accessory,Net Banking,11,867.72,623.88,243.84,659.9,5.0,2.1,2
ORD-10151,2026-05-31,West,New,Laptop,Credit Card,11,8003.38,6316.38,1687.0,616.28,3.2,1.3,0
ORD-10152,2026-06-01,North,New,Tablet,UPI,3,1433.63,1026.88,406.74,547.94,3.05,5.0,1
ORD-10153,2026-06-02,North,Returning,Phone,Credit Card,9,5730.12,3511.98,2218.13,562.49,4.15,2.4,1
ORD-10154,2026-06-03,South,New,Accessory,Net Banking,7,544.16,302.87,241.29,482.24,4.68,1.0,0
ORD-10155,2026-06-04,West,Returning,Phone,Credit Card,7,4157.59,3263.41,894.19,219.19,5.0,4.8,0
ORD-10156,2026-06-05,North,Returning,Tablet,Net Banking,11,5333.44,2964.02,2369.42,639.68,3.7,8.2,0
ORD-10157,2026-06-06,East,Returning,Phone,Credit Card,6,3575.18,2810.7,764.48,485.98,4.7,4.2,1
ORD-10158,2026-06-07,West,Returning,Laptop,Net Banking,8,6122.3,4241.61,1880.69,414.29,3.97,5.5,1
ORD-10159,2026-06-08,North,New,Tablet,Debit Card,4,1747.49,1404.2,343.3,122.14,3.89,4.3,1
ORD-10160,2026-06-09,East,New,Laptop,,8,7141.47,5468.02,1673.45,340.59,4.57,4.0,1
ORD-10161,2026-06-10,South,New,Phone,Credit Card,4,2177.92,1784.68,393.24,349.23,4.42,5.7,0
ORD-10162,2026-06-11,East,New,Tablet,Debit Card,8,3672.57,2367.68,1304.89,611.97,2.98,3.7,0
ORD-10163,2026-06-12,East,New,Tablet,Debit Card,9,4378.53,3315.16,1063.37,405.32,4.96,4.6,0
ORD-10164,2026-06-13,East,New,Monitor,Credit Card,3,970.57,639.14,331.43,297.26,4.9,4.7,0
ORD-10165,2026-06-14,North,New,Monitor,Debit Card,3,838.97,570.14,268.84,684.92,3.59,3.1,0
ORD-10166,2026-06-15,West,Enterprise,Phone,UPI,11,5368.58,3862.3,1506.28,121.97,4.26,5.8,0
ORD-10167,2026-06-16,South,Returning,Phone,Net Banking,13,8401.23,6602.47,1798.76,324.66,4.32,3.9,1
ORD-10168,2026-06-17,North,New,Phone,Net Banking,2,1239.52,1011.08,228.44,77.32,4.17,3.0,0
ORD-10169,2026-06-18,North,Returning,Monitor,Net Banking,13,3243.74,2456.92,786.82,530.94,3.64,5.1,5
ORD-10170,2026-06-19,East,New,Accessory,UPI,10,865.41,573.59,291.82,646.75,3.56,2.8,2
ORD-10171,2026-06-20,East,New,Accessory,Debit Card,3,255.84,169.82,86.02,232.02,3.98,4.2,0
ORD-10172,2026-06-21,North,Returning,Accessory,Debit Card,3,229.77,172.13,57.64,607.92,4.76,4.2,0
ORD-10173,2026-06-22,South,Returning,Laptop,Credit Card,5,4441.76,2729.33,1712.43,239.94,4.35,5.9,0
ORD-10174,2026-06-23,North,New,Phone,Debit Card,5,2699.59,1565.3,1134.29,642.0,3.76,5.0,1
ORD-10175,2026-06-24,East,Enterprise,Laptop,Credit Card,2,1475.72,952.94,522.78,540.08,4.5,4.2,0
ORD-10176,2026-06-25,North,Enterprise,Monitor,UPI,12,3227.67,2025.54,1202.13,573.19,,5.5,1
ORD-10177,2026-06-26,East,Returning,Phone,Net Banking,10,6132.18,3863.29,2268.89,61.7,4.75,6.4,2
ORD-10178,2026-06-27,South,Returning,Tablet,Net Banking,13,4649.35,2850.39,1798.95,675.83,2.87,5.1,1
ORD-10179,2026-06-28,West,Returning,Phone,Net Banking,6,3168.18,1778.51,1389.67,522.34,3.76,4.2,0
ORD-10180,2026-06-29,North,New,Laptop,Debit Card,5,4170.93,2314.14,1856.79,248.09,,2.1,0
ORD-10181,2026-06-30,South,New,Laptop,Credit Card,6,5239.44,4278.97,960.47,589.11,3.16,2.5,0
ORD-10182,2026-07-01,North,New,Accessory,Credit Card,1,86.52,57.58,28.94,232.99,4.75,3.7,0
ORD-10183,2026-07-02,West,New,Monitor,UPI,5,1350.01,882.59,467.42,617.29,3.7,3.2,0
ORD-10184,2026-07-03,West,Returning,Laptop,Debit Card,9,7378.38,5412.08,1966.3,123.18,4.23,3.9,0
ORD-10185,2026-07-04,South,New,Laptop,UPI,12,11152.43,6791.03,4361.4,507.4,3.97,4.3,0
ORD-10186,2026-07-05,East,Enterprise,Accessory,Credit Card,10,749.42,604.4,145.02,401.45,4.31,5.0,2
ORD-10187,2026-07-06,West,Enterprise,Laptop,Credit Card,14,10997.02,8383.18,2613.85,112.75,4.05,4.1,0
ORD-10188,2026-07-07,East,Returning,Accessory,Net Banking,2,149.9,86.06,63.83,207.23,3.17,5.0,0
ORD-10189,2026-07-08,South,Returning,Accessory,Debit Card,1,67.24,44.56,22.68,58.06,4.65,4.3,0
ORD-10190,2026-07-09,North,Enterprise,Laptop,Credit Card,14,10807.67,8509.55,2298.12,354.7,3.68,1.0,3
ORD-10191,2026-07-10,North,New,Laptop,Net Banking,10,8622.92,6942.12,1680.8,245.82,2.99,2.7,0
ORD-10192,2026-07-11,West,Returning,Tablet,Debit Card,13,5395.82,3648.64,1747.18,438.93,3.72,4.0,1
ORD-10193,2026-07-12,West,New,Phone,UPI,11,6968.99,4987.16,1981.83,243.2,4.98,2.3,2
ORD-10194,2026-07-13,East,Returning,Phone,Debit Card,9,4799.47,2856.16,1943.31,244.95,4.55,5.2,2
ORD-10195,2026-07-14,South,New,Accessory,Debit Card,10,781.2,638.72,142.48,533.08,3.77,6.6,0
ORD-10196,2026-07-15,South,Enterprise,Tablet,Credit Card,9,4001.69,2451.24,1550.45,81.29,3.77,6.2,1
ORD-10197,2026-07-16,East,Enterprise,Tablet,Credit Card,9,3229.33,2598.12,631.21,636.88,3.79,3.9,0
ORD-10198,2026-07-17,West,New,Accessory,Debit Card,6,481.04,348.95,132.09,603.97,5.0,6.6,0
ORD-10199,2026-07-18,West,New,Phone,Credit Card,8,3998.51,2855.29,1143.22,484.07,4.25,4.4,0
ORD-10200,2026-07-19,West,Enterprise,Laptop,Credit Card,14,13889.12,9561.63,4327.49,435.59,4.28,3.7,0
ORD-10201,2026-07-20,East,Returning,Accessory,Credit Card,11,741.72,454.14,287.58,630.0,4.67,3.2,1
ORD-10202,2026-07-21,North,Enterprise,Monitor,Net Banking,13,3592.05,2146.83,1445.21,170.46,4.16,3.7,1
ORD-10203,2026-07-22,North,Returning,Phone,Net Banking,1,482.99,294.4,188.59,101.33,3.83,3.6,0
ORD-10204,2026-07-23,West,New,Tablet,Debit Card,10,4951.67,2972.68,1978.99,205.68,3.87,4.5,1
ORD-10205,2026-07-24,East,New,Laptop,Credit Card,4,3453.46,2626.32,827.15,566.48,3.95,4.5,1
ORD-10206,2026-07-25,North,New,Phone,Net Banking,1,575.56,370.97,204.59,72.54,3.98,4.2,0
ORD-10207,2026-07-26,North,Returning,Laptop,,8,5930.52,3354.41,2576.11,428.82,4.47,4.9,1
ORD-10208,2026-07-27,East,New,Phone,Credit Card,1,603.62,489.93,113.69,697.03,4.03,6.1,0
ORD-10209,2026-07-28,North,Returning,Laptop,UPI,3,2344.14,1848.64,495.5,606.2,4.48,5.7,0
ORD-10210,2026-07-29,North,Returning,Laptop,Credit Card,13,12667.25,10140.05,2527.2,388.94,3.95,1.8,1
ORD-10211,2026-07-30,East,Returning,Laptop,Credit Card,4,3120.17,2554.25,565.92,91.37,4.05,1.0,1
ORD-10212,2026-07-31,East,Enterprise,Monitor,Net Banking,8,2044.96,1220.74,824.22,590.39,2.7,5.7,0
ORD-10213,2026-08-01,East,Enterprise,Accessory,Debit Card,6,387.93,254.86,133.06,439.34,4.6,2.0,0
ORD-10214,2026-08-02,North,New,Monitor,Debit Card,14,3942.67,2975.63,967.04,124.71,4.23,3.8,0
ORD-10215,2026-08-03,East,Returning,Tablet,Net Banking,10,4352.87,3212.09,1140.78,111.01,4.65,2.3,0
ORD-10216,2026-08-04,North,Returning,Phone,Credit Card,12,5753.11,3403.27,2349.85,641.26,2.12,1.3,0
ORD-10217,2026-08-05,South,Returning,Phone,UPI,7,4257.81,3279.68,978.13,484.98,5.0,5.1,2
ORD-10218,2026-08-06,West,Enterprise,Accessory,Credit Card,14,1049.56,640.86,408.7,589.04,3.91,5.4,0
ORD-10219,2026-08-07,East,New,Phone,Credit Card,8,4501.41,2747.8,1753.61,621.34,4.72,3.3,0
ORD-10220,2026-08-08,West,New,Tablet,UPI,2,836.18,581.13,255.05,421.65,3.32,1.0,0
ORD-10221,2026-08-09,East,Returning,Laptop,Net Banking,13,10853.88,7707.27,3146.61,386.34,4.4,3.3,1
ORD-10222,2026-08-10,East,New,Tablet,Debit Card,10,4345.66,3070.75,1274.92,329.78,3.32,4.8,1
ORD-10223,2026-08-11,North,Returning,Laptop,Net Banking,14,10724.63,6163.46,4561.17,256.02,3.59,1.8,0
ORD-10224,2026-08-12,South,Enterprise,Tablet,Net Banking,11,4204.37,3308.48,895.89,332.49,5.0,4.5,1
ORD-10225,2026-08-13,South,New,Monitor,Credit Card,8,2541.03,1579.79,961.24,553.02,3.88,4.2,0
ORD-10226,2026-08-14,North,Enterprise,Tablet,Debit Card,3,1464.39,856.63,607.77,441.25,4.14,5.1,0
ORD-10227,2026-08-15,West,New,Laptop,Debit Card,7,5790.49,4574.27,1216.22,630.14,4.57,4.4,2
ORD-10228,2026-08-16,South,Returning,Monitor,Net Banking,3,789.05,637.57,151.48,338.2,4.32,2.6,0
ORD-10229,2026-08-17,West,Returning,Tablet,UPI,7,3123.81,2445.24,678.57,444.61,4.1,6.1,0
ORD-10230,2026-08-18,East,Enterprise,Monitor,Net Banking,14,3860.74,2967.25,893.49,460.35,4.24,3.9,1
ORD-10231,2026-08-19,West,New,Monitor,UPI,11,2643.8,1921.82,721.98,434.6,5.0,4.2,0
ORD-10232,2026-08-20,South,New,Monitor,Debit Card,12,3029.14,2116.56,912.59,506.71,3.96,2.7,2
ORD-10233,2026-08-21,East,Returning,Phone,Net Banking,13,7766.84,4454.18,3312.66,204.33,4.13,3.5,0
ORD-10234,2026-08-22,South,Returning,Monitor,Credit Card,2,597.77,394.7,203.07,383.04,4.68,2.8,0
